개별/연결,계정명,당기일자,금액,재무제표명
재무제표,유동자산,2018.06.30 현재,28854798372.0,재무상태표
재무제표,비유동자산,2018.06.30 현재,19526762836.0,재무상태표
재무제표,자산총계,2018.06.30 현재,48381561208.0,재무상태표
재무제표,유동부채,2018.06.30 현재,11716860531.0,재무상태표
재무제표,비유동부채,2018.06.30 현재,4315810898.0,재무상태표
재무제표,부채총계,2018.06.30 현재,16032671429.0,재무상태표
재무제표,자본금,2018.06.30 현재,5000000000.0,재무상태표
재무제표,이익잉여금,2018.06.30 현재,27099353656.0,재무상태표
재무제표,자본총계,2018.06.30 현재,32348889779.0,재무상태표
재무제표,매출액,2018.01.01 ~ 2018.06.30,15476703708.0,손익계산서
재무제표,영업이익,2018.01.01 ~ 2018.06.30,-54237637.0,손익계산서
재무제표,법인세차감전 순이익,2018.01.01 ~ 2018.06.30,85255166.0,손익계산서
재무제표,당기순이익,2018.01.01 ~ 2018.06.30,71423804.0,손익계산서
