개별/연결,계정명,당기일자,금액,재무제표명
연결재무제표,유동자산,2020.12.31 현재,30945436117.0,재무상태표
연결재무제표,비유동자산,2020.12.31 현재,18185950097.0,재무상태표
연결재무제표,자산총계,2020.12.31 현재,49131386214.0,재무상태표
연결재무제표,유동부채,2020.12.31 현재,8292391230.0,재무상태표
연결재무제표,비유동부채,2020.12.31 현재,1292440958.0,재무상태표
연결재무제표,부채총계,2020.12.31 현재,9584832188.0,재무상태표
연결재무제표,자본금,2020.12.31 현재,5000000000.0,재무상태표
연결재무제표,이익잉여금,2020.12.31 현재,35105204173.0,재무상태표
연결재무제표,자본총계,2020.12.31 현재,39546554026.0,재무상태표
연결재무제표,매출액,2020.01.01 ~ 2020.12.31,57693667086.0,손익계산서
연결재무제표,영업이익,2020.01.01 ~ 2020.12.31,503769538.0,손익계산서
연결재무제표,법인세차감전 순이익,2020.01.01 ~ 2020.12.31,2524386149.0,손익계산서
연결재무제표,당기순이익,2020.01.01 ~ 2020.12.31,2311221997.0,손익계산서
재무제표,유동자산,2020.12.31 현재,30541057505.0,재무상태표
재무제표,비유동자산,2020.12.31 현재,18671698960.0,재무상태표
재무제표,자산총계,2020.12.31 현재,49212756465.0,재무상태표
재무제표,유동부채,2020.12.31 현재,8272824847.0,재무상태표
재무제표,비유동부채,2020.12.31 현재,1292440958.0,재무상태표
재무제표,부채총계,2020.12.31 현재,9565265805.0,재무상태표
재무제표,자본금,2020.12.31 현재,5000000000.0,재무상태표
재무제표,이익잉여금,2020.12.31 현재,35206140807.0,재무상태표
재무제표,자본총계,2020.12.31 현재,39647490660.0,재무상태표
재무제표,매출액,2020.01.01 ~ 2020.12.31,57690337329.0,손익계산서
재무제표,영업이익,2020.01.01 ~ 2020.12.31,552269164.0,손익계산서
재무제표,법인세차감전 순이익,2020.01.01 ~ 2020.12.31,2625322783.0,손익계산서
재무제표,당기순이익,2020.01.01 ~ 2020.12.31,2412158631.0,손익계산서
