개별/연결,계정명,당기일자,금액,재무제표명
연결재무제표,유동자산,2021.03.31 현재,32208239512.0,재무상태표
연결재무제표,비유동자산,2021.03.31 현재,18451599734.0,재무상태표
연결재무제표,자산총계,2021.03.31 현재,50659839246.0,재무상태표
연결재무제표,유동부채,2021.03.31 현재,9068703693.0,재무상태표
연결재무제표,비유동부채,2021.03.31 현재,1393869805.0,재무상태표
연결재무제표,부채총계,2021.03.31 현재,10462573498.0,재무상태표
연결재무제표,자본금,2021.03.31 현재,5000000000.0,재무상태표
연결재무제표,이익잉여금,2021.03.31 현재,35755915895.0,재무상태표
연결재무제표,자본총계,2021.03.31 현재,40197265748.0,재무상태표
연결재무제표,매출액,2021.01.01 ~ 2021.03.31,14893382375.0,손익계산서
연결재무제표,영업이익,2021.01.01 ~ 2021.03.31,965354891.0,손익계산서
연결재무제표,법인세차감전 순이익,2021.01.01 ~ 2021.03.31,1046900763.0,손익계산서
연결재무제표,당기순이익,2021.01.01 ~ 2021.03.31,873178722.0,손익계산서
재무제표,유동자산,2021.03.31 현재,31851053057.0,재무상태표
재무제표,비유동자산,2021.03.31 현재,18937667566.0,재무상태표
재무제표,자산총계,2021.03.31 현재,50788720623.0,재무상태표
재무제표,유동부채,2021.03.31 현재,9051704733.0,재무상태표
재무제표,비유동부채,2021.03.31 현재,1393869805.0,재무상태표
재무제표,부채총계,2021.03.31 현재,10445574538.0,재무상태표
재무제표,자본금,2021.03.31 현재,5000000000.0,재무상태표
재무제표,이익잉여금,2021.03.31 현재,35901796232.0,재무상태표
재무제표,자본총계,2021.03.31 현재,40343146085.0,재무상태표
재무제표,매출액,2021.01.01 ~ 2021.03.31,14863832874.0,손익계산서
재무제표,영업이익,2021.01.01 ~ 2021.03.31,1010447019.0,손익계산서
재무제표,법인세차감전 순이익,2021.01.01 ~ 2021.03.31,1091844466.0,손익계산서
재무제표,당기순이익,2021.01.01 ~ 2021.03.31,918122425.0,손익계산서
