개별/연결,계정명,당기일자,금액,재무제표명
재무제표,유동자산,2018.12.31 현재,50061192349.0,재무상태표
재무제표,비유동자산,2018.12.31 현재,50590669286.0,재무상태표
재무제표,자산총계,2018.12.31 현재,0.0,재무상태표
재무제표,유동부채,2018.12.31 현재,7880958501.0,재무상태표
재무제표,비유동부채,2018.12.31 현재,24324988972.0,재무상태표
재무제표,부채총계,2018.12.31 현재,32205947473.0,재무상태표
재무제표,자본금,2018.12.31 현재,37230163000.0,재무상태표
재무제표,이익잉여금,2018.12.31 현재,-77169666841.0,재무상태표
재무제표,자본총계,2018.12.31 현재,68445914162.0,재무상태표
재무제표,매출액,2018.01.01 ~ 2018.12.31,46003132778.0,손익계산서
재무제표,영업이익,2018.01.01 ~ 2018.12.31,-12910696320.0,손익계산서
재무제표,법인세차감전 순이익,2018.01.01 ~ 2018.12.31,-8534274631.0,손익계산서
재무제표,당기순이익,2018.01.01 ~ 2018.12.31,-8534274631.0,손익계산서
