Date,Open,High,Low,Close,Volume,Change
2001-09-13,15618,15618,15618,15618,450,
2001-09-14,17455,17455,13780,13972,227501,-0.10539121526443851
2001-09-17,12441,12594,12326,12326,29098,-0.11780704265674202
2001-09-18,10871,12632,10871,10872,114667,-0.11796203147817619
2001-09-19,9952,11024,9570,9570,214120,-0.11975717439293598
2001-09-20,9034,9570,8421,8422,393864,-0.11995820271682345
2001-09-21,8038,9187,7426,7809,909158,-0.07278556162431726
2001-09-24,7579,8727,7388,8728,268798,0.11768472275579467
2001-09-25,8766,9493,7694,7694,375716,-0.11846929422548125
2001-09-26,7847,7885,6928,6929,211537,-0.0994281258123213
2001-09-27,6967,6967,6124,6163,1526856,-0.11054986289507862
2001-09-28,6354,6890,6239,6890,824347,0.11796203147817619
2001-10-04,7617,7694,7273,7694,323007,0.11669085631349785
2001-10-05,7809,8383,7120,7656,551309,-0.004938913439043402
2001-10-08,7311,8000,7005,7158,632480,-0.0650470219435737
2001-10-09,7464,8000,7426,8001,617935,0.11777032690695721
2001-10-10,7962,8957,7770,8958,950613,0.1196100487439069
2001-10-11,9416,10029,9263,10029,1435519,0.11955793703951767
2001-10-12,10029,10029,10029,10029,0,0.0
2001-10-15,10029,10029,10029,10029,0,0.0
2001-10-16,10029,10029,10029,10029,0,0.0
2001-10-17,8842,8842,8842,8843,112,-0.11825705454182867
2001-10-18,7809,7809,7809,7809,41,-0.1169286441252968
2001-10-19,7809,7809,7809,7809,0,0.0
2001-10-22,6890,6890,6890,6890,194,-0.11768472275579456
2001-10-23,6086,6086,6086,6087,780,-0.11654571843251094
2001-10-24,5359,6813,5359,6814,6619527,0.11943486117956303
2001-10-25,6354,6775,6010,6010,1717810,-0.11799236865277374
2001-10-26,5933,5933,5320,5321,1287325,-0.11464226289517476
2001-10-29,5206,5933,5129,5933,1108396,0.11501597444089451
2001-10-30,5742,6239,5665,5895,530381,-0.006404854205292465
2001-10-31,5971,6354,5895,6125,226066,0.03901611535199323
2001-11-01,6163,6431,5971,6010,217880,-0.018775510204081636
2001-11-02,6048,6392,5933,6201,293092,0.03178036605657231
2001-11-05,6201,6928,6201,6929,153709,0.11740041928721179
2001-11-06,7081,7656,6507,6508,1145984,-0.060759128301342225
2001-11-07,6431,6660,6392,6469,456329,-0.005992624462200391
2001-11-08,6622,7081,6507,7005,421891,0.08285670119029209
2001-11-09,6775,7809,6699,7809,707614,0.11477516059957171
2001-11-12,8038,8727,7885,8728,344197,0.11768472275579467
2001-11-13,9570,9761,8230,8728,597045,0.0
2001-11-14,8804,9761,8727,9761,226026,0.11835472043996331
2001-11-15,10680,10680,9072,9187,305339,-0.05880545026124373
2001-11-16,9225,9876,8995,9532,153110,0.037553064112332724
2001-11-19,9531,9531,9531,9532,0,0.0
2001-11-20,9531,9531,9531,9532,0,0.0
2001-11-21,9531,9531,9531,9532,0,0.0
2001-11-22,8727,10144,8689,10144,177851,0.06420478388585815
2001-11-23,10144,10144,10144,10144,0,0.0
2001-11-26,10144,10144,10144,10144,0,0.0
2001-11-27,10144,10144,10144,10144,0,0.0
2001-11-28,10144,10144,10144,10144,0,0.0
2001-11-29,8957,8957,8957,8958,59,-0.11691640378548895
2001-11-30,7885,10029,7885,10029,472203,0.11955793703951767
2001-12-03,10029,10029,10029,10029,0,0.0
2001-12-04,10029,10029,10029,10029,0,0.0
2001-12-05,10029,10029,10029,10029,0,0.0
2001-12-06,10029,10029,10029,10029,0,0.0
2001-12-07,10029,10029,10029,10029,0,0.0
2001-12-10,10029,10029,10029,10029,0,0.0
2001-12-11,10718,11216,10718,11216,58921,0.11835676538039674
2001-12-12,11216,11216,11216,11216,0,0.0
2001-12-13,11216,11216,11216,11216,0,0.0
2001-12-14,11216,11216,11216,11216,0,0.0
2001-12-17,12517,12555,9876,12556,92643,0.119472182596291
2001-12-18,13398,13972,11063,11063,611331,-0.11890729531697997
2001-12-19,10412,12326,10335,12326,483064,0.11416433155563599
2001-12-20,12326,13780,12326,13781,84639,0.11804316079831256
2001-12-21,13780,13780,13780,13781,0,0.0
2001-12-24,13780,13780,13780,13781,0,0.0
2001-12-26,13780,13780,13780,13781,0,0.0
2001-12-27,14737,15426,14546,15427,131210,0.11943980843189905
2001-12-28,15426,16077,13589,13590,138505,-0.11907694302197447
2002-01-02,11981,13283,11981,11982,434591,-0.1183222958057395
2002-01-03,10986,11752,10565,11101,569956,-0.07352695710232016
2002-01-04,11101,11637,10909,11101,241338,0.0
2002-01-07,10795,11445,10795,11331,79922,0.02071885415728314
2002-01-08,11484,11484,11101,11140,37871,-0.016856411614155853
2002-01-09,11139,11828,11101,11101,38174,-0.0035008976660682034
2002-01-10,11101,11292,10909,11293,36648,0.017295739122601628
2002-01-11,11292,11330,11101,11101,16795,-0.017001682458159917
2002-01-14,11101,11292,11101,11101,36034,0.0
2002-01-15,11101,12134,11101,11829,17892,0.06557967750653093
2002-01-16,11828,12326,11330,11867,6338,0.0032124439935750093
2002-01-17,11407,12249,11177,11829,4011,-0.003202157242774062
2002-01-18,11216,12173,11216,11293,7511,-0.04531236790937532
2002-01-21,11330,12173,11330,11867,5338,0.05082794651554057
2002-01-22,10718,12134,10718,11484,10329,-0.0322743743153282
2002-01-23,10106,12823,10106,12786,142953,0.11337513061650983
2002-01-24,14163,14163,11866,13781,2403,0.07781949006726108
2002-01-25,13589,13589,12134,12135,61844,-0.11943980843189894
2002-01-28,11369,11866,10680,11484,67931,-0.053646477132262005
2002-01-29,11522,12862,11484,12862,73816,0.11999303378613724
2002-01-30,13015,14393,12632,14393,71340,0.1190328098273985
2002-01-31,14393,16077,14393,15082,47298,0.04787049260056975
2002-02-01,15120,16881,13398,16882,125409,0.11934756663572466
2002-02-04,16881,16881,16881,16882,0,0.0
2002-02-05,16881,16881,16881,16882,0,0.0
2002-02-06,16881,16881,16881,16882,0,0.0
2002-02-07,18872,18872,18872,18872,4270,0.11787702878805839
2002-02-08,21130,21130,19140,21131,8325,0.1197011445527767
2002-02-14,23657,23657,18604,18604,73128,-0.1195873361412143
2002-02-15,18604,18604,18604,18604,0,0.0
2002-02-18,18604,18604,18604,18604,0,0.0
2002-02-19,18604,18604,18604,18604,0,0.0
2002-02-20,16384,20824,16384,20825,145505,0.11938292840249409
2002-02-21,20824,23312,20824,23313,13891,0.11947178871548614
