Date,Open,High,Low,Close,Volume,Change
2021-12-02,13300,17250,13300,17250,329183,
2021-12-03,22400,22400,18000,18000,2405540,0.04347826086956519
2021-12-06,17450,18600,15550,15850,519826,-0.11944444444444446
2021-12-07,15500,18350,15000,15200,952264,-0.04100946372239744
2021-12-08,17500,19750,16050,19750,1479537,0.29934210526315796
2021-12-09,21000,25650,21000,25650,1145596,0.2987341772151899
2021-12-10,33300,33300,33300,33300,115621,0.29824561403508776
2021-12-13,40000,42800,28600,36000,3785734,0.08108108108108114
2021-12-14,33900,39800,33150,37000,1233256,0.02777777777777768
2021-12-15,36300,37700,34850,34900,67121,-0.05675675675675673
