Date,Open,High,Low,Close,Volume,Change
2016-12-15,15826,16402,15275,15952,121867,
2016-12-16,16026,16202,15826,16077,60990,0.00783600802407225
2016-12-19,15951,16227,15926,15952,17501,-0.0077750824158736576
2016-12-20,15575,16001,15575,15776,15929,-0.011033099297893645
2016-12-21,15676,15951,15601,15626,10451,-0.009508113590263712
2016-12-22,15651,15826,15626,15676,4592,0.0031997952131064267
2016-12-23,15676,15876,15525,15551,17420,-0.007973972952283748
2016-12-26,15575,15751,15575,15676,9668,0.00803806829142828
2016-12-27,15651,15926,15651,15902,5926,0.014416943097729007
2016-12-28,15801,17278,15801,16678,35229,0.04879889322097841
2016-12-29,16777,16903,16602,16878,9861,0.011991845545029411
2017-01-02,16978,17253,16602,16778,6669,-0.005924872615238774
2017-01-03,16727,16777,16502,16628,4951,-0.008940278936702795
2017-01-04,16627,16752,16427,16703,4247,0.004510464277122983
2017-01-05,16677,17028,16627,16728,3836,0.0014967371130933937
2017-01-06,16702,16727,16477,16628,2161,-0.005978000956480156
2017-01-09,16627,16627,16252,16402,1813,-0.013591532355063718
2017-01-10,16277,16352,15876,16352,7675,-0.0030484087306426044
2017-01-11,15951,16277,15851,15952,8222,-0.024461839530332652
2017-01-12,15876,16001,15250,15376,22579,-0.03610832497492478
2017-01-13,15676,15676,15375,15426,3755,0.0032518210197711728
2017-01-16,15525,15525,15125,15376,20686,-0.00324128095423315
2017-01-17,15375,15425,15150,15351,4341,-0.0016259105098855864
2017-01-18,15450,15550,15375,15451,2295,0.006514233600416919
2017-01-19,15375,15575,15275,15451,1532,0.0
2017-01-20,15550,15550,15250,15351,2046,-0.006472073004983536
2017-01-23,15250,15275,15000,15125,8910,-0.014722167936942254
2017-01-24,15025,15400,14874,15275,8152,0.009917355371900749
2017-01-25,15150,15475,15050,15200,3119,-0.004909983633387904
2017-01-26,15400,15450,15275,15326,1600,0.008289473684210513
2017-01-31,15325,15425,15175,15326,701,0.0
2017-02-01,15325,15375,15175,15326,2120,0.0
2017-02-02,15225,15400,15175,15301,990,-0.0016312149288790767
2017-02-03,15125,15200,14924,15050,9533,-0.016404156591072527
2017-02-06,15200,15250,14799,15175,5304,0.008305647840531671
